"";"V1"
"1055";"Gata2"
"1056";"Gata3"
"1057";"Gatm"
"1058";"Gbf1"
"1059";"Gbp2"
"1060";"Gbp3"
"1061";"Gbp4"
"1062";"Gbp5"
"1063";"Gbp6"
"1064";"Gbp7"
"1065";"Gbp8"
"1066";"Gbp9"
"1067";"Gca"
"1068";"Gcat"
"1069";"Gch1"
"1070";"Gchfr"
"1071";"Gclc"
"1072";"Gclm"
"1073";"Gcnt1"
"1074";"Gcnt2"
"1075";"Gcsh"
"1076";"Gda"
"1077";"Gde1"
"1078";"Gdf15"
"1079";"Gdf3"
"1080";"Gdpd1"
"1081";"Gdpd3"
"1082";"Gem"
"1083";"Gemin5"
"1084";"Gemin6"
"1085";"Get4"
"1086";"Gfer"
"1087";"Gfi1"
"1088";"Gfi1b"
"1089";"Gfm1"
"1090";"Gfod2"
"1091";"Gfra1"
"1092";"Gfra2"
"1093";"Gga2"
"1094";"Ggh"
"1095";"Ggt1"
"1096";"Ghdc"
"1097";"Gimap1"
"1098";"Gimap3"
"1099";"Gimap4"
"1100";"Gimap5"
"1101";"Gimap6"
"1102";"Gimap7"
"1103";"Gimap9"
"1104";"Gins1"
"1105";"Gins3"
"1106";"Gjb3"
"1107";"Gkn3"
"1108";"Gla"
"1109";"Glipr1"
"1110";"Glo1"
"1111";"Glrx5"
"1112";"Gm128"
"1113";"Gm1604b"
"1114";"Gm1673"
"1115";"Gm2a"
"1116";"Gm4951"
"1117";"Gm5150"
"1118";"Gm8113"
"1119";"Gm8369"
"1120";"Gm9733"
"1121";"Gmcl1"
"1122";"Gml"
"1123";"Gmpr"
"1124";"Gmps"
"1125";"Gnaz"
"1126";"Gnb4"
"1127";"Gne"
"1128";"Gng11"
"1129";"Gng12"
"1130";"Gng2"
"1131";"Gngt2"
"1132";"Gnl3"
"1133";"Gnptab"
"1134";"Gns"
"1135";"Golga3"
"1136";"Golm1"
"1137";"Golt1b"
"1138";"Got1"
"1139";"Got2"
"1140";"Gp1bb"
"1141";"Gp5"
"1142";"Gp9"
"1143";"Gpatch4"
"1144";"Gpc1"
"1145";"Gpc4"
"1146";"Gpn3"
"1147";"Gpr141"
"1148";"Gpr160"
"1149";"Gpr171"
"1150";"Gpr174"
"1151";"Gpr18"
"1152";"Gpr183"
"1153";"Gpr34"
"1154";"Gpr65"
"1155";"Gpr89"
"1156";"Gps1"
"1157";"Gpsm2"
"1158";"Gpx3"
"1159";"Gpx4"
"1160";"Gramd3"
"1161";"Grap"
"1162";"Grb7"
"1163";"Grhpr"
"1164";"Gria2"
"1165";"Gria3"
"1166";"Grina"
"1167";"Grn"
"1168";"Grwd1"
"1169";"Gsn"
"1170";"Gspt1"
"1171";"Gsr"
"1172";"Gstm1"
"1173";"Gstm2"
"1174";"Gstm4"
"1175";"Gstm5"
"1176";"Gsto1"
"1177";"Gstp1"
"1178";"Gstp3"
"1179";"Gstt1"
"1180";"Gstt2"
"1181";"Gstz1"
"1182";"Gtf2a2"
"1183";"Gtf2f1"
"1184";"Gtf2f2"
"1185";"Gtf2h1"
"1186";"Gtf2h3"
"1187";"Gtf3a"
"1188";"Gtpbp4"
"1189";"Guca1a"
"1190";"Guk1"
"1191";"Gusb"
"1192";"Gypa"
"1193";"Gypc"
"1194";"Gzma"
"1195";"Gzmb"
"1196";"H1f0"
"1197";"H2-Aa"
"1198";"H2-Ab1"
"1199";"H2-DMa"
"1200";"H2-DMb1"
"1201";"H2-DMb2"
"1202";"H2-Eb1"
"1203";"H2-Eb2"
"1204";"H2-Oa"
"1205";"H2-Ob"
"1206";"H2-Q10"
"1207";"H2-Q6"
"1208";"H2-Q7"
"1209";"H3f3b"
"1210";"Hacd1"
"1211";"Hacd3"
"1212";"Hacd4"
"1213";"Hadh"
"1214";"Hagh"
"1215";"Hars"
"1216";"Hat1"
"1217";"Haus5"
"1218";"Haus8"
"1219";"Havcr1"
"1220";"Hba-a1"
"1221";"Hba-a2"
"1222";"Hbb-bs"
"1223";"Hbb-bt"
"1224";"Hbegf"
"1225";"Hcar2"
"1226";"Hcst"
"1227";"Hdac7"
"1228";"Hdc"
"1229";"Hddc2"
"1230";"Hdgf"
"1231";"Heatr3"
"1232";"Hebp1"
"1233";"Hectd1"
"1234";"Hemgn"
"1235";"Hemk1"
"1236";"Herc1"
"1237";"Herpud1"
"1238";"Hes1"
"1239";"Hes6"
"1240";"Hexa"
"1241";"Hfe"
"1242";"Higd1a"
"1243";"Hinfp"
"1244";"Hint1"
"1245";"Hirip3"
"1246";"Hk2"
"1247";"Hk3"
"1248";"Hlf"
"1249";"Hmbs"
"1250";"Hmga1"
"1251";"Hmgb1"
